Name,Team_from,League_from,Team_to,Summer,Transfer_fee,Comb
Sébastien Squillaci,Sevilla FC,LaLiga,Arsenal,2010,6.5,Sébastien Squillaci2010
Felipe,Udinese Calcio,Serie A,Fiorentina,2010,6.3,Felipe2010
Marko Arnautovic,FC Twente,Eredivisie,Werder Bremen,2010,6.2,Marko Arnautovic2010
Albert Riera,Liverpool,Premier League,Olympiacos,2010,6.0,Albert Riera2010
Mousa Dembélé,AZ Alkmaar,Eredivisie,Fulham,2010,6.0,Mousa Dembélé2010
Raffaele Palladino,Genoa,Serie A,Parma,2010,6.0,Raffaele Palladino2010
César Azpilicueta,CA Osasuna,LaLiga,Marseille,2010,6.0,César Azpilicueta2010
Abdoulay Konko,Sevilla FC,LaLiga,Genoa,2010,6.0,Abdoulay Konko2010
Sergio Canales,Racing,LaLiga,Real Madrid,2010,6.0,Sergio Canales2010
Miroslav Stoch,Chelsea,Premier League,Fenerbahce,2010,5.5,Miroslav Stoch2010
Christian Poulsen,Juventus,Serie A,Liverpool,2010,5.48,Christian Poulsen2010
Mounir El Hamdaoui,AZ Alkmaar,Eredivisie,AFC Ajax,2010,5.0,Mounir El Hamdaoui2010
Alexis,Valencia CF,LaLiga,Sevilla FC,2010,5.0,Alexis2010
Chico,UD Almería,LaLiga,Genoa,2010,5.0,Chico2010
Nikica Jelavic,Rapid Vienna,Bundesliga,Rangers,2010,4.9,Nikica Jelavic2010
Guido Marilungo,Sampdoria,Serie A,Atalanta,2010,4.7,Guido Marilungo2010
Daniel Osvaldo,Bologna,Serie A,Espanyol,2010,4.6,Daniel Osvaldo2010
Lorik Cana,Sunderland,Premier League,Galatasaray,2010,4.5,Lorik Cana2010
Gaetano D'Agostino,Udinese Calcio,Serie A,Fiorentina,2010,4.5,Gaetano D'Agostino2010
Barreto,Udinese Calcio,Serie A,Bari,2010,4.5,Barreto2010
Tuncay Sanli,Stoke City,Premier League,VfL Wolfsburg,2010,4.5,Tuncay Sanli2010
Sokratis,Genoa,Serie A,AC Milan,2010,4.5,Sokratis2010
Marco Storari,AC Milan,Serie A,Juventus,2010,4.5,Marco Storari2010
Alberto Paloschi,Genoa,Serie A,AC Milan,2010,4.35,Alberto Paloschi2010
Aritz Aduriz,RCD Mallorca,LaLiga,Valencia CF,2010,4.3,Aritz Aduriz2010
Cheik Tioté,FC Twente,Eredivisie,Newcastle,2010,4.28,Cheik Tioté2010
Juanfran,CA Osasuna,LaLiga,Atlético Madrid,2010,4.25,Juanfran2010
Jonathan Biabiany,Parma,Serie A,Inter,2010,4.2,Jonathan Biabiany2010
Mario Bolatti,Fiorentina,Serie A,Internacional,2010,4.0,Mario Bolatti2010
Curtis Davies,Aston Villa,Premier League,Birmingham,2010,4.0,Curtis Davies2010
Mémé Tchité,Racing,LaLiga,Standard Liège,2010,4.0,Mémé Tchité2010
Paul Konchesky,Fulham,Premier League,Liverpool,2010,4.0,Paul Konchesky2010
Ronnie Stam,FC Twente,Eredivisie,Wigan,2010,4.0,Ronnie Stam2010
Alessio Cerci,AS Roma,Serie A,Fiorentina,2010,4.0,Alessio Cerci2010
Dídac Vilà,Espanyol,LaLiga,AC Milan,2010,4.0,Dídac Vilà2010
Cristian Molinaro,Juventus,Serie A,VfB Stuttgart,2010,3.9,Cristian Molinaro2010
Lorenzo Ariaudo,Juventus,Serie A,Cagliari Calcio,2010,3.8,Lorenzo Ariaudo2010
Steven Pienaar,Everton,Premier League,Spurs,2010,3.6,Steven Pienaar2010
Martyn Waghorn,Sunderland,Premier League,Leicester,2010,3.6,Martyn Waghorn2010
Jelle Van Damme,Wolves,Premier League,Standard Liège,2010,3.5,Jelle Van Damme2010
Jeremain Lens,AZ Alkmaar,Eredivisie,PSV Eindhoven,2010,3.5,Jeremain Lens2010
Luis Jiménez,Inter,Serie A,Ternana,2010,3.18,Luis Jiménez2010
Giuseppe Sculli,Genoa,Serie A,Lazio,2010,3.0,Giuseppe Sculli2010
Ronaldinho,AC Milan,Serie A,Flamengo,2010,3.0,Ronaldinho2010
Ibrahim Afellay,PSV Eindhoven,Eredivisie,FC Barcelona,2010,3.0,Ibrahim Afellay2010
Javier Pastore,US Palermo,Serie A,Paris SG,2011,42.0,Javier Pastore2011
Sergio Agüero,Atlético Madrid,LaLiga,Man City,2011,40.0,Sergio Agüero2011
Cesc Fàbregas,Arsenal,Premier League,FC Barcelona,2011,34.0,Cesc Fàbregas2011
Samir Nasri,Arsenal,Premier League,Man City,2011,27.5,Samir Nasri2011
Samuel Eto'o,Inter,Serie A,Anzhi,2011,27.0,Samuel Eto'o2011
Juan Mata,Valencia CF,LaLiga,Chelsea,2011,26.7,Juan Mata2011
Alexis Sánchez,Udinese Calcio,Serie A,FC Barcelona,2011,26.0,Alexis Sánchez2011
David de Gea,Atlético Madrid,LaLiga,Man Utd,2011,25.0,David de Gea2011
Zlatan Ibrahimovic,FC Barcelona,LaLiga,AC Milan,2011,24.0,Zlatan Ibrahimovic2011
Santi Cazorla,Villarreal CF,LaLiga,Málaga CF,2011,23.0,Santi Cazorla2011
Stewart Downing,Aston Villa,Premier League,Liverpool,2011,22.8,Stewart Downing2011
Phil Jones,Blackburn,Premier League,Man Utd,2011,19.3,Phil Jones2011
Ashley Young,Aston Villa,Premier League,Man Utd,2011,18.0,Ashley Young2011
Gökhan Inler,Udinese Calcio,Serie A,SSC Napoli,2011,18.0,Gökhan Inler2011
Jordan Henderson,Sunderland,Premier League,Liverpool,2011,18.0,Jordan Henderson2011
Daniel Osvaldo,Espanyol,LaLiga,AS Roma,2011,16.0,Daniel Osvaldo2011
Alessandro Matri,Cagliari Calcio,Serie A,Juventus,2011,15.5,Alessandro Matri2011
Stephan El Shaarawy,Genoa,Serie A,AC Milan,2011,15.5,Stephan El Shaarawy2011
Mirko Vucinic,AS Roma,Serie A,Juventus,2011,15.0,Mirko Vucinic2011
Domenico Criscito,Genoa,Serie A,Zenit S-Pb,2011,15.0,Domenico Criscito2011
Yuri Zhirkov,Chelsea,Premier League,Anzhi,2011,15.0,Yuri Zhirkov2011
Balázs Dzsudzsák,PSV Eindhoven,Eredivisie,Anzhi,2011,14.0,Balázs Dzsudzsák2011
Christopher Samba,Blackburn,Premier League,Anzhi,2011,14.0,Christopher Samba2011
Raúl Meireles,Liverpool,Premier League,Chelsea,2011,13.5,Raúl Meireles2011
Jérôme Boateng,Man City,Premier League,Bayern Munich ,2011,13.5,Jérôme Boateng2011
Edinson Cavani,US Palermo,Serie A,SSC Napoli,2011,12.0,Edinson Cavani2011
Mikel Arteta,Everton,Premier League,Arsenal,2011,12.0,Mikel Arteta2011
Bojan Krkic,FC Barcelona,LaLiga,AS Roma,2011,12.0,Bojan Krkic2011
Bryan Ruíz,FC Twente,Eredivisie,Fulham,2011,12.0,Bryan Ruíz2011
Thiago Motta,Inter,Serie A,Paris SG,2011,11.5,Thiago Motta2011
Peter Crouch,Spurs,Premier League,Stoke City,2011,11.3,Peter Crouch2011
Charles N'Zogbia,Wigan,Premier League,Aston Villa,2011,10.8,Charles N'Zogbia2011
Fabio Quagliarella,SSC Napoli,Serie A,Juventus,2011,10.5,Fabio Quagliarella2011
Marco Borriello,AC Milan,Serie A,AS Roma,2011,10.0,Marco Borriello2011
