Name,Team_from,League_from,Team_to,Summer,Transfer_fee,Comb
Vikash Dhorasoo,AC Milan,Serie A,Paris SG,2005,3.2,Vikash Dhorasoo2005
Clinton Morrison,Birmingham,Premier League,Crystal Palace,2005,3.0,Clinton Morrison2005
Jesper Grönkjaer,Atlético Madrid,LaLiga,VfB Stuttgart,2005,3.0,Jesper Grönkjaer2005
Alou Diarra,Liverpool,Premier League,Lens,2005,3.0,Alou Diarra2005
Grzegorz Rasiak,Spurs,Premier League,Southampton,2005,3.0,Grzegorz Rasiak2005
Andrew O'Brien,Newcastle,Premier League,Portsmouth,2005,3.0,Andrew O'Brien2005
Erik Edman,Spurs,Premier League,Stade Rennais,2005,3.0,Erik Edman2005
Hossam Ghaly,Feyenoord,Eredivisie,Spurs,2005,3.0,Hossam Ghaly2005
Luis García,RCD Mallorca,LaLiga,Espanyol,2005,3.0,Luis García2005
Marcus Bent,Everton,Premier League,Charlton,2005,3.0,Marcus Bent2005
Amr Zaki,Enppi,Premier League,Loko Moscow,2005,3.0,Amr Zaki2005
Mikel Arteta,Real Sociedad,LaLiga,Everton,2005,2.8,Mikel Arteta2005
Jon Stead,Blackburn,Premier League,Sunderland,2005,2.7,Jon Stead2005
Kléberson,Man Utd,Premier League,Besiktas,2005,2.6,Kléberson2005
Enzo Maresca,Juventus,Serie A,Sevilla FC,2005,2.5,Enzo Maresca2005
Shinji Ono,Feyenoord,Eredivisie,Urawa Reds,2005,2.5,Shinji Ono2005
Wesley Sonck,AFC Ajax,Eredivisie,Bor. M'gladbach,2005,2.5,Wesley Sonck2005
Thimothée Atouba,Spurs,Premier League,Hamburger SV,2005,2.5,Thimothée Atouba2005
Luciano Galletti,Real Zaragoza,LaLiga,Atlético Madrid,2005,2.5,Luciano Galletti2005
Ron Vlaar,AZ Alkmaar,Eredivisie,Feyenoord,2005,2.5,Ron Vlaar2005
Quincy Owusu-Abeyie,Arsenal,Premier League,Spartak Moscow,2005,2.5,Quincy Owusu-Abeyie2005
Michael Brown,Spurs,Premier League,Fulham,2005,2.3,Michael Brown2005
Nolberto Solano,Aston Villa,Premier League,Newcastle,2005,2.25,Nolberto Solano2005
Paul Konchesky,Charlton,Premier League,West Ham,2005,2.25,Paul Konchesky2005
Darren Carter,Birmingham,Premier League,West Brom,2005,2.25,Darren Carter2005
John Welsh,Liverpool,Premier League,Hull City,2005,2.25,John Welsh2005
Santiago Solari,Real Madrid,LaLiga,Inter,2005,2.0,Santiago Solari2005
Young-pyo Lee,PSV Eindhoven,Eredivisie,Spurs,2005,2.0,Young-pyo Lee2005
Rabiu Afolabi,Austria Vienna,Bundesliga,FC Sochaux,2005,2.0,Rabiu Afolabi2005
Miguel Ángel,Málaga CF,LaLiga,Real Betis,2005,2.0,Miguel Ángel2005
Chun-soo Lee,Real Sociedad,LaLiga,Ulsan,2005,2.0,Chun-soo Lee2005
Javier Arizmendi,Atlético Madrid,LaLiga,Dep. La Coruña,2005,2.0,Javier Arizmendi2005
Anthony Seric,Lazio,Serie A,Panathinaikos,2005,2.0,Anthony Seric2005
Andriy Shevchenko,AC Milan,Serie A,Chelsea,2006,43.3,Andriy Shevchenko2006
Michael Carrick,Spurs,Premier League,Man Utd,2006,27.2,Michael Carrick2006
Joaquín,Real Betis,LaLiga,Valencia CF,2006,25.0,Joaquín2006
Dirk Kuyt,Feyenoord,Eredivisie,Liverpool,2006,18.0,Dirk Kuyt2006
Obafemi Martins,Inter,Serie A,Newcastle,2006,16.0,Obafemi Martins2006
Damien Duff,Chelsea,Premier League,Newcastle,2006,15.5,Damien Duff2006
Ruud van Nistelrooy,Man Utd,Premier League,Real Madrid,2006,15.0,Ruud van Nistelrooy2006
Ricardo Oliveira,Real Betis,LaLiga,AC Milan,2006,15.0,Ricardo Oliveira2006
Ashley Young,Watford,Premier League,Aston Villa,2006,13.2,Ashley Young2006
David Pizarro,Inter,Serie A,AS Roma,2006,13.0,David Pizarro2006
Eidur Gudjohnsen,Chelsea,Premier League,FC Barcelona,2006,12.0,Eidur Gudjohnsen2006
Pablo Aimar,Valencia CF,LaLiga,Real Zaragoza,2006,11.0,Pablo Aimar2006
Cani,Real Zaragoza,LaLiga,Villarreal CF,2006,11.0,Cani2006
Francesco Tavano,FC Empoli,Serie A,Valencia CF,2006,10.0,Francesco Tavano2006
Pascal Chimbonda,Wigan,Premier League,Spurs,2006,10.0,Pascal Chimbonda2006
Craig Bellamy,Blackburn,Premier League,Liverpool,2006,9.0,Craig Bellamy2006
Arouna Koné,Roda JC,Eredivisie,PSV Eindhoven,2006,9.0,Arouna Koné2006
Robert Huth,Chelsea,Premier League,Middlesbrough,2006,8.9,Robert Huth2006
Amauri,Chievo Verona,Serie A,US Palermo,2006,8.75,Amauri2006
Massimo Oddo,Lazio,Serie A,AC Milan,2006,7.75,Massimo Oddo2006
Ronaldo,Real Madrid,LaLiga,AC Milan,2006,7.5,Ronaldo2006
Asier del Horno,Chelsea,Premier League,Valencia CF,2006,7.5,Asier del Horno2006
Ashley Cole,Arsenal,Premier League,Chelsea,2006,7.4,Ashley Cole2006
Mateja Kezman,Atlético Madrid,LaLiga,Fenerbahce,2006,7.0,Mateja Kezman2006
Luís Boa Morte,Fulham,Premier League,West Ham,2006,6.8,Luís Boa Morte2006
Mido,AS Roma,Serie A,Spurs,2006,6.75,Mido2006
Stephen Makinwa,US Palermo,Serie A,Lazio,2006,6.3,Stephen Makinwa2006
Mark van Bommel,FC Barcelona,LaLiga,Bayern Munich ,2006,6.0,Mark van Bommel2006
Joris Mathijsen,AZ Alkmaar,Eredivisie,Hamburger SV,2006,6.0,Joris Mathijsen2006
Fernando Navarro,FC Barcelona,LaLiga,RCD Mallorca,2006,6.0,Fernando Navarro2006
Sébastien Frey,Parma,Serie A,Fiorentina,2006,5.75,Sébastien Frey2006
Fabio Grosso,US Palermo,Serie A,Inter,2006,5.5,Fabio Grosso2006
Mario Santana,US Palermo,Serie A,Fiorentina,2006,5.5,Mario Santana2006
Fábio Simplício,Parma,Serie A,US Palermo,2006,5.5,Fábio Simplício2006
Emiliano Bonazzoli,Parma,Serie A,Sampdoria,2006,5.25,Emiliano Bonazzoli2006
Fernando Morientes,Liverpool,Premier League,Valencia CF,2006,5.0,Fernando Morientes2006
Mousa Dembélé,Willem II,Eredivisie,AZ Alkmaar,2006,5.0,Mousa Dembélé2006
Jan Vennegoor of Hesselink,PSV Eindhoven,Eredivisie,Celtic,2006,4.9,Jan Vennegoor of Hesselink2006
Riki,Getafe CF,LaLiga,Dep. La Coruña,2006,4.64,Riki2006
Franck Queudrue,Middlesbrough,Premier League,Fulham,2006,4.5,Franck Queudrue2006
Johann Vogel,AC Milan,Serie A,Real Betis,2006,4.5,Johann Vogel2006
Denny Landzaat,AZ Alkmaar,Eredivisie,Wigan,2006,4.4,Denny Landzaat2006
Andy Reid,Spurs,Premier League,Charlton,2006,4.2,Andy Reid2006
Calum Davenport,Spurs,Premier League,West Ham,2006,4.2,Calum Davenport2006
Simone Barone,US Palermo,Serie A,Torino,2006,4.1,Simone Barone2006
Jason Roberts,Wigan,Premier League,Blackburn,2006,4.08,Jason Roberts2006
Salomon Kalou,Feyenoord,Eredivisie,Chelsea,2006,4.0,Salomon Kalou2006
Mista,Valencia CF,LaLiga,Atlético Madrid,2006,4.0,Mista2006
Jean-Alain Boumsong,Newcastle,Premier League,Juventus,2006,4.0,Jean-Alain Boumsong2006
Mariano Pernía,Getafe CF,LaLiga,Atlético Madrid,2006,4.0,Mariano Pernía2006
Álvaro Arbeloa,Dep. La Coruña,LaLiga,Liverpool,2006,3.9,Álvaro Arbeloa2006
Jimmy Bullard,Wigan,Premier League,Fulham,2006,3.75,Jimmy Bullard2006
Shefki Kuqi,Blackburn,Premier League,Crystal Palace,2006,3.75,Shefki Kuqi2006
Leonardo Pisculichi,RCD Mallorca,LaLiga,Al Arabi,2006,3.6,Leonardo Pisculichi2006
Jiri Jarosik,Chelsea,Premier League,Celtic,2006,3.5,Jiri Jarosik2006
Stefano Mauri,Udinese Calcio,Serie A,Lazio,2006,3.5,Stefano Mauri2006
Diego Rivas,Getafe CF,LaLiga,Real Sociedad,2006,3.5,Diego Rivas2006
Gijs Luirink,FC Groningen,Eredivisie,AZ Alkmaar,2006,3.5,Gijs Luirink2006
Daniele Bonera,Parma,Serie A,AC Milan,2006,3.3,Daniele Bonera2006
Radhi Jaidi,Bolton,Premier League,Birmingham,2006,3.25,Radhi Jaidi2006
David Cotterill,Bristol City,League One,Wigan,2006,3.2,David Cotterill2006
Pasquale Foggia,AC Milan,Serie A,Lazio,2006,3.15,Pasquale Foggia2006
Steed Malbranque,Fulham,Premier League,Spurs,2006,3.0,Steed Malbranque2006
Jaap Stam,AC Milan,Serie A,AFC Ajax,2006,3.0,Jaap Stam2006
Juan Pablo Sorín,Villarreal CF,LaLiga,Hamburger SV,2006,3.0,Juan Pablo Sorín2006
Jan Kromkamp,Liverpool,Premier League,PSV Eindhoven,2006,3.0,Jan Kromkamp2006
Luis Jiménez,Fiorentina,Serie A,Ternana,2006,3.0,Luis Jiménez2006
Markus Rosenberg,AFC Ajax,Eredivisie,Werder Bremen,2006,3.0,Markus Rosenberg2006
Bernardo Corradi,Valencia CF,LaLiga,Man City,2006,3.0,Bernardo Corradi2006
Thomas Gravesen,Real Madrid,LaLiga,Celtic,2006,3.0,Thomas Gravesen2006
Erjon Bogdani,Siena,Serie A,Chievo Verona,2006,3.0,Erjon Bogdani2006
Carlton Cole,Chelsea,Premier League,West Ham,2006,3.0,Carlton Cole2006
Ivan Pelizzoli,Reggina,Serie A,Loko Moscow,2006,3.0,Ivan Pelizzoli2006
Cribari,Udinese Calcio,Serie A,Lazio,2006,3.0,Cribari2006
José Manuel Jurado,Real Madrid,LaLiga,Atlético Madrid,2006,3.0,José Manuel Jurado2006
Amdy Fayé,Newcastle,Premier League,Charlton,2006,3.0,Amdy Fayé2006
André Ooijer,PSV Eindhoven,Eredivisie,Blackburn,2006,3.0,André Ooijer2006
Pascal Cygan,Arsenal,Premier League,Villarreal CF,2006,3.0,Pascal Cygan2006
Christian Maggio,Fiorentina,Serie A,Sampdoria,2006,3.0,Christian Maggio2006
Ryan Donk,RKC Waalwijk,Eredivisie,AZ Alkmaar,2006,3.0,Ryan Donk2006
Djimi Traoré,Liverpool,Premier League,Charlton,2006,2.8,Djimi Traoré2006
Kevin Kilbane,Everton,Premier League,Wigan,2006,2.5,Kevin Kilbane2006
Angelos Charisteas,AFC Ajax,Eredivisie,Feyenoord,2006,2.5,Angelos Charisteas2006
Fernando Torres,Atlético Madrid,LaLiga,Liverpool,2007,38.0,Fernando Torres2007
Arjen Robben,Chelsea,Premier League,Real Madrid,2007,35.0,Arjen Robben2007
Wesley Sneijder,AFC Ajax,Eredivisie,Real Madrid,2007,27.0,Wesley Sneijder2007
Thierry Henry,Arsenal,Premier League,FC Barcelona,2007,24.0,Thierry Henry2007
Diego Forlán,Villarreal CF,LaLiga,Atlético Madrid,2007,21.0,Diego Forlán2007
Gabriel Milito,Real Zaragoza,LaLiga,FC Barcelona,2007,20.0,Gabriel Milito2007
Nicolas Anelka,Bolton,Premier League,Chelsea,2007,18.0,Nicolas Anelka2007
Ryan Babel,AFC Ajax,Eredivisie,Liverpool,2007,17.25,Ryan Babel2007
Afonso Alves,Heerenveen,Eredivisie,Middlesbrough,2007,17.0,Afonso Alves2007
Yakubu Aiyegbeni,Middlesbrough,Premier League,Everton,2007,16.5,Yakubu Aiyegbeni2007
Cristian Chivu,AS Roma,Serie A,Inter,2007,16.0,Cristian Chivu2007
Royston Drenthe,Feyenoord,Eredivisie,Real Madrid,2007,14.0,Royston Drenthe2007
Nikola Zigic,Racing,LaLiga,Valencia CF,2007,14.0,Nikola Zigic2007
David Suazo,Cagliari Calcio,Serie A,Inter,2007,13.0,David Suazo2007
Raúl García,CA Osasuna,LaLiga,Atlético Madrid,2007,13.0,Raúl García2007
Rolando Bianchi,Reggina,Serie A,Man City,2007,13.0,Rolando Bianchi2007
Nigel Reo-Coker,West Ham,Premier League,Aston Villa,2007,12.5,Nigel Reo-Coker2007
José Antonio Reyes,Arsenal,Premier League,Atlético Madrid,2007,12.0,José Antonio Reyes2007
Juan Riquelme,Villarreal CF,LaLiga,Boca Juniors,2007,12.0,Juan Riquelme2007
Gabriel Heinze,Man Utd,Premier League,Real Madrid,2007,12.0,Gabriel Heinze2007
Kieron Dyer,Newcastle,Premier League,West Ham,2007,12.0,Kieron Dyer2007
Arouna Koné,PSV Eindhoven,Eredivisie,Sevilla FC,2007,12.0,Arouna Koné2007
Javier Arizmendi,Dep. La Coruña,LaLiga,Valencia CF,2007,12.0,Javier Arizmendi2007
Vincenzo Iaquinta,Udinese Calcio,Serie A,Juventus,2007,11.3,Vincenzo Iaquinta2007
Craig Bellamy,Liverpool,Premier League,West Ham,2007,11.25,Craig Bellamy2007
Luca Toni,Fiorentina,Serie A,Bayern Munich ,2007,11.0,Luca Toni2007
Mohamed Sissoko,Liverpool,Premier League,Juventus,2007,11.0,Mohamed Sissoko2007
Jonathan Woodgate,Middlesbrough,Premier League,Spurs,2007,10.8,Jonathan Woodgate2007
Sulley Muntari,Udinese Calcio,Serie A,Portsmouth,2007,10.51,Sulley Muntari2007
Jorge Andrade,Dep. La Coruña,LaLiga,Juventus,2007,10.0,Jorge Andrade2007
Giuseppe Rossi,Man Utd,Premier League,Villarreal CF,2007,10.0,Giuseppe Rossi2007
Scott Parker,Newcastle,Premier League,West Ham,2007,9.7,Scott Parker2007
Jonathan Woodgate,Real Madrid,LaLiga,Middlesbrough,2007,9.6,Jonathan Woodgate2007
Jermain Defoe,Spurs,Premier League,Portsmouth,2007,9.3,Jermain Defoe2007
Cicinho,Real Madrid,LaLiga,AS Roma,2007,9.0,Cicinho2007
Djibril Cissé,Liverpool,Premier League,Marseille,2007,9.0,Djibril Cissé2007
Sergio Almirón,FC Empoli,Serie A,Juventus,2007,9.0,Sergio Almirón2007
Alan Smith,Man Utd,Premier League,Newcastle,2007,9.0,Alan Smith2007
Mido,Spurs,Premier League,Middlesbrough,2007,8.8,Mido2007
Fabio Grosso,Inter,Serie A,Olympique Lyon,2007,8.7,Fabio Grosso2007
José Enrique,Villarreal CF,LaLiga,Newcastle,2007,8.7,José Enrique2007
Joey Barton,Man City,Premier League,Newcastle,2007,8.6,Joey Barton2007
Kieran Richardson,Man Utd,Premier League,Sunderland,2007,8.2,Kieran Richardson2007
Valeri Bojinov,Fiorentina,Serie A,Man City,2007,8.0,Valeri Bojinov2007
Aleksandr Kerzhakov,Sevilla FC,LaLiga,Dinamo Moscow,2007,8.0,Aleksandr Kerzhakov2007
Boško Jankovic,RCD Mallorca,LaLiga,US Palermo,2007,8.0,Boško Jankovic2007
Albert Luque,Newcastle,Premier League,AFC Ajax,2007,8.0,Albert Luque2007
Cristiano Lucarelli,AS Livorno,Serie A,Shakhtar D.,2007,7.91,Cristiano Lucarelli2007
Leighton Baines,Wigan,Premier League,Everton,2007,7.5,Leighton Baines2007
Gary O'Neil,Portsmouth,Premier League,Middlesbrough,2007,7.5,Gary O'Neil2007
James McFadden,Everton,Premier League,Birmingham,2007,7.5,James McFadden2007
Domenico Criscito,Genoa,Serie A,Juventus,2007,7.5,Domenico Criscito2007
Luis Suárez,FC Groningen,Eredivisie,AFC Ajax,2007,7.5,Luis Suárez2007
Fabio Quagliarella,Sampdoria,Serie A,Udinese Calcio,2007,7.3,Fabio Quagliarella2007
Yossi Benayoun,West Ham,Premier League,Liverpool,2007,7.3,Yossi Benayoun2007
Martin Petrov,Atlético Madrid,LaLiga,Man City,2007,7.0,Martin Petrov2007
Lassana Diarra,Arsenal,Premier League,Portsmouth,2007,7.0,Lassana Diarra2007
Andrea Caracciolo,Sampdoria,Serie A,Brescia,2007,7.0,Andrea Caracciolo2007
Diego López,Real Madrid,LaLiga,Villarreal CF,2007,7.0,Diego López2007
Danny Koevermans,AZ Alkmaar,Eredivisie,PSV Eindhoven,2007,6.9,Danny Koevermans2007
Alexis,Getafe CF,LaLiga,Valencia CF,2007,6.0,Alexis2007
Fabrice Muamba,Arsenal,Premier League,Birmingham,2007,6.0,Fabrice Muamba2007
Francesco Tavano,Valencia CF,LaLiga,AS Livorno,2007,6.0,Francesco Tavano2007
James Beattie,Everton,Premier League,Sheffield Utd.,2007,6.0,James Beattie2007
Danko Lazovic,Vitesse,Eredivisie,PSV Eindhoven,2007,6.0,Danko Lazovic2007
Mark González,Liverpool,Premier League,Real Betis,2007,6.0,Mark González2007
Gary Cahill,Aston Villa,Premier League,Bolton,2007,6.0,Gary Cahill2007
Steven Davis,Aston Villa,Premier League,Fulham,2007,5.9,Steven Davis2007
David López,CA Osasuna,LaLiga,Athletic Bilbao,2007,5.8,David López2007
Juliano Belletti,FC Barcelona,LaLiga,Chelsea,2007,5.5,Juliano Belletti2007
Marlon Harewood,West Ham,Premier League,Aston Villa,2007,5.5,Marlon Harewood2007
Glen Johnson,Chelsea,Premier League,Portsmouth,2007,5.5,Glen Johnson2007
Marco Andreolli,Inter,Serie A,AS Roma,2007,5.5,Marco Andreolli2007
Grétar Steinsson,AZ Alkmaar,Eredivisie,Bolton,2007,5.25,Grétar Steinsson2007
Benjani,Portsmouth,Premier League,Man City,2007,5.2,Benjani2007
Greg Halford,Reading,Premier League,Sunderland,2007,5.2,Greg Halford2007
Émerson,Real Madrid,LaLiga,AC Milan,2007,5.0,Émerson2007
Papa Bouba Diop,Fulham,Premier League,Portsmouth,2007,5.0,Papa Bouba Diop2007
Giulio Migliaccio,Atalanta,Serie A,US Palermo,2007,5.0,Giulio Migliaccio2007
Tom De Mul,AFC Ajax,Eredivisie,Sevilla FC,2007,5.0,Tom De Mul2007
Dani Güiza,Getafe CF,LaLiga,RCD Mallorca,2007,5.0,Dani Güiza2007
Michele Pazienza,Fiorentina,Serie A,SSC Napoli,2007,4.8,Michele Pazienza2007
Matthew Taylor,Portsmouth,Premier League,Bolton,2007,4.7,Matthew Taylor2007
Zat Knight,Fulham,Premier League,Aston Villa,2007,4.7,Zat Knight2007
Freddie Ljungberg,Arsenal,Premier League,West Ham,2007,4.5,Freddie Ljungberg2007
Ludovic Giuly,FC Barcelona,LaLiga,AS Roma,2007,4.5,Ludovic Giuly2007
Carlos Diogo,Real Madrid,LaLiga,Real Zaragoza,2007,4.5,Carlos Diogo2007
Giandomenico Mesto,Reggina,Serie A,Udinese Calcio,2007,4.5,Giandomenico Mesto2007
Massimo Donati,AC Milan,Serie A,Celtic,2007,4.5,Massimo Donati2007
Andrea Caracciolo,US Palermo,Serie A,Sampdoria,2007,4.5,Andrea Caracciolo2007
Reginaldo,Fiorentina,Serie A,Parma,2007,4.5,Reginaldo2007
Manuel da Costa,PSV Eindhoven,Eredivisie,Fiorentina,2007,4.5,Manuel da Costa2007
Fabrizio Miccoli,Juventus,Serie A,US Palermo,2007,4.3,Fabrizio Miccoli2007
Tim Howard,Man Utd,Premier League,Everton,2007,4.2,Tim Howard2007
Lomana LuaLua,Portsmouth,Premier League,Olympiacos,2007,4.1,Lomana LuaLua2007
Luis García,Liverpool,Premier League,Atlético Madrid,2007,4.0,Luis García2007
Mauro Esposito,Cagliari Calcio,Serie A,AS Roma,2007,4.0,Mauro Esposito2007
Fitz Hall,Wigan,Premier League,QPR,2007,4.0,Fitz Hall2007
Florent Sinama-Pongolle,Liverpool,Premier League,Recr. Huelva,2007,4.0,Florent Sinama-Pongolle2007
Gorka Iraizoz,Espanyol,LaLiga,Athletic Bilbao,2007,4.0,Gorka Iraizoz2007
Daniele Galloppa,AS Roma,Serie A,Siena,2007,3.95,Daniele Galloppa2007
Robinho,Real Madrid,LaLiga,Man City,2008,43.0,Robinho2008
Dimitar Berbatov,Spurs,Premier League,Man Utd,2008,38.0,Dimitar Berbatov2008
Dani Alves,Sevilla FC,LaLiga,FC Barcelona,2008,35.5,Dani Alves2008
Klaas-Jan Huntelaar,AFC Ajax,Eredivisie,Real Madrid,2008,27.0,Klaas-Jan Huntelaar2008
Ronaldinho,FC Barcelona,LaLiga,AC Milan,2008,25.0,Ronaldinho2008
Robbie Keane,Spurs,Premier League,Liverpool,2008,24.0,Robbie Keane2008
Amauri,US Palermo,Serie A,Juventus,2008,22.8,Amauri2008
Javier Mascherano,West Ham,Premier League,Liverpool,2008,22.5,Javier Mascherano2008
David Bentley,Blackburn,Premier League,Spurs,2008,22.0,David Bentley2008
Lassana Diarra,Portsmouth,Premier League,Real Madrid,2008,20.0,Lassana Diarra2008
Aleksandr Hleb,Arsenal,Premier League,FC Barcelona,2008,17.0,Aleksandr Hleb2008
Robbie Keane,Liverpool,Premier League,Spurs,2008,16.7,Robbie Keane2008
Martín Cáceres,Villarreal CF,LaLiga,FC Barcelona,2008,16.5,Martín Cáceres2008
Jermain Defoe,Portsmouth,Premier League,Spurs,2008,16.4,Jermain Defoe2008
Miralem Sulejmani,Heerenveen,Eredivisie,AFC Ajax,2008,16.25,Miralem Sulejmani2008
Craig Bellamy,West Ham,Premier League,Man City,2008,15.5,Craig Bellamy2008
James Milner,Newcastle,Premier League,Aston Villa,2008,15.0,James Milner2008
Wilson Palacios,Wigan,Premier League,Spurs,2008,15.0,Wilson Palacios2008
Alberto Gilardino,AC Milan,Serie A,Fiorentina,2008,14.0,Alberto Gilardino2008
Sulley Muntari,Portsmouth,Premier League,Inter,2008,14.0,Sulley Muntari2008
Andrea Barzagli,US Palermo,Serie A,VfL Wolfsburg,2008,14.0,Andrea Barzagli2008
Dani Güiza,RCD Mallorca,LaLiga,Fenerbahce,2008,14.0,Dani Güiza2008
Seydou Keita,Sevilla FC,LaLiga,FC Barcelona,2008,14.0,Seydou Keita2008
Vedran Corluka,Man City,Premier League,Spurs,2008,13.75,Vedran Corluka2008
Peter Crouch,Liverpool,Premier League,Portsmouth,2008,13.7,Peter Crouch2008
Andy Johnson,Everton,Premier League,Fulham,2008,13.3,Andy Johnson2008
Mancini,AS Roma,Serie A,Inter,2008,13.0,Mancini2008
Fabricio Coloccini,Dep. La Coruña,LaLiga,Newcastle,2008,13.0,Fabricio Coloccini2008
Wayne Bridge,Chelsea,Premier League,Man City,2008,13.0,Wayne Bridge2008
Juan Manuel Vargas,Catania,Serie A,Fiorentina,2008,12.0,Juan Manuel Vargas2008
Domenico Criscito,Juventus,Serie A,Genoa,2008,11.5,Domenico Criscito2008
Shaun Wright-Phillips,Chelsea,Premier League,Man City,2008,11.25,Shaun Wright-Phillips2008
Gianluca Zambrotta,FC Barcelona,LaLiga,AC Milan,2008,10.5,Gianluca Zambrotta2008
Rafael Sóbis,Real Betis,LaLiga,Al-Jazira,2008,10.5,Rafael Sóbis2008
Deco,FC Barcelona,LaLiga,Chelsea,2008,10.0,Deco2008
Jefferson Farfán,PSV Eindhoven,Eredivisie,FC Schalke 04,2008,10.0,Jefferson Farfán2008
Júlio Baptista,Real Madrid,LaLiga,AS Roma,2008,10.0,Júlio Baptista2008
Ricardo Oliveira,AC Milan,Serie A,Real Zaragoza,2008,10.0,Ricardo Oliveira2008
Ezequiel Garay,Racing,LaLiga,Real Madrid,2008,10.0,Ezequiel Garay2008
Johnny Heitinga,AFC Ajax,Eredivisie,Atlético Madrid,2008,10.0,Johnny Heitinga2008
Florent Sinama-Pongolle,Recr. Huelva,LaLiga,Atlético Madrid,2008,10.0,Florent Sinama-Pongolle2008
Anton Ferdinand,West Ham,Premier League,Sunderland,2008,10.0,Anton Ferdinand2008
Curtis Davies,West Brom,Premier League,Aston Villa,2008,10.0,Curtis Davies2008
Albert Riera,Espanyol,LaLiga,Liverpool,2008,9.8,Albert Riera2008
Christian Poulsen,Sevilla FC,LaLiga,Juventus,2008,9.75,Christian Poulsen2008
Giampaolo Pazzini,Fiorentina,Serie A,Sampdoria,2008,9.0,Giampaolo Pazzini2008
Shay Given,Newcastle,Premier League,Man City,2008,9.0,Shay Given2008
Heurelho Gomes,PSV Eindhoven,Eredivisie,Spurs,2008,9.0,Heurelho Gomes2008
Andrea Dossena,Udinese Calcio,Serie A,Liverpool,2008,9.0,Andrea Dossena2008
Marco Borriello,Genoa,Serie A,AC Milan,2008,8.75,Marco Borriello2008
Pablo Zabaleta,Espanyol,LaLiga,Man City,2008,8.7,Pablo Zabaleta2008
Abdoulay Konko,Genoa,Serie A,Sevilla FC,2008,8.5,Abdoulay Konko2008
Christian Maggio,Sampdoria,Serie A,SSC Napoli,2008,8.0,Christian Maggio2008
Asamoah Gyan,Udinese Calcio,Serie A,Stade Rennais,2008,8.0,Asamoah Gyan2008
Felipe Melo,UD Almería,LaLiga,Fiorentina,2008,8.0,Felipe Melo2008
Cesare Bovo,Genoa,Serie A,US Palermo,2008,7.85,Cesare Bovo2008
Antonio Nocerino,Juventus,Serie A,US Palermo,2008,7.5,Antonio Nocerino2008
Cristian Zaccardo,US Palermo,Serie A,VfL Wolfsburg,2008,7.0,Cristian Zaccardo2008
Rolando Bianchi,Man City,Premier League,Torino,2008,7.0,Rolando Bianchi2008
Rio Mavuba,Villarreal CF,LaLiga,LOSC Lille,2008,7.0,Rio Mavuba2008
Daniel Osvaldo,Fiorentina,Serie A,Bologna,2008,7.0,Daniel Osvaldo2008
Charles N'Zogbia,Newcastle,Premier League,Wigan,2008,6.4,Charles N'Zogbia2008
Tal Ben Haim,Chelsea,Premier League,Man City,2008,6.4,Tal Ben Haim2008
Valon Behrami,Lazio,Serie A,West Ham,2008,6.3,Valon Behrami2008
Steve Sidwell,Chelsea,Premier League,Aston Villa,2008,6.3,Steve Sidwell2008
Younès Kaboul,Spurs,Premier League,Portsmouth,2008,6.25,Younès Kaboul2008
Giovani dos Santos,FC Barcelona,LaLiga,Spurs,2008,6.0,Giovani dos Santos2008
Gaby Mudingayi,Lazio,Serie A,Bologna,2008,6.0,Gaby Mudingayi2008
Pelé,Inter,Serie A,FC Porto,2008,6.0,Pelé2008
Roberto Soldado,Real Madrid,LaLiga,Getafe CF,2008,6.0,Roberto Soldado2008
Aritz Aduriz,Athletic Bilbao,LaLiga,RCD Mallorca,2008,6.0,Aritz Aduriz2008
Borja Valero,RCD Mallorca,LaLiga,West Brom,2008,5.9,Borja Valero2008
Jonás Gutiérrez,RCD Mallorca,LaLiga,Newcastle,2008,5.8,Jonás Gutiérrez2008
Xisco,Dep. La Coruña,LaLiga,Newcastle,2008,5.68,Xisco2008
Joseba Llorente,Real Valladolid,LaLiga,Villarreal CF,2008,5.5,Joseba Llorente2008
George McCartney,West Ham,Premier League,Sunderland,2008,5.5,George McCartney2008
Orlando Engelaar,FC Twente,Eredivisie,FC Schalke 04,2008,5.5,Orlando Engelaar2008
Leandro Rinaudo,US Palermo,Serie A,SSC Napoli,2008,5.5,Leandro Rinaudo2008
Jimmy Bullard,Fulham,Premier League,Hull City,2008,5.3,Jimmy Bullard2008
John Arne Riise,Liverpool,Premier League,AS Roma,2008,5.0,John Arne Riise2008
Raffaele Palladino,Juventus,Serie A,Genoa,2008,5.0,Raffaele Palladino2008
Steed Malbranque,Spurs,Premier League,Sunderland,2008,5.0,Steed Malbranque2008
Gerard Piqué,Man Utd,Premier League,FC Barcelona,2008,5.0,Gerard Piqué2008
Khalid Boulahrouz,Chelsea,Premier League,VfB Stuttgart,2008,5.0,Khalid Boulahrouz2008
Karim El Ahmadi,FC Twente,Eredivisie,Feyenoord,2008,5.0,Karim El Ahmadi2008
Davide Astori,AC Milan,Serie A,Cagliari Calcio,2008,5.0,Davide Astori2008
Gianluca Comotto,Torino,Serie A,Fiorentina,2008,4.8,Gianluca Comotto2008
Andrea Lazzari,Atalanta,Serie A,Cagliari Calcio,2008,4.8,Andrea Lazzari2008
Rubén de la Red,Getafe CF,LaLiga,Real Madrid,2008,4.7,Rubén de la Red2008
