Name,Team_from,League_from,Team_to,Season,Transfer_fee
Matías Vuoso,Man City,Premier League,Santos Laguna,2003-2004,1.5
Paul Bosvelt,Feyenoord,Eredivisie,Man City,2003-2004,1.5
Geoff Horsfield,Birmingham,Premier League,Wigan,2003-2004,1.5
Darren Huckerby,Man City,Premier League,Norwich,2003-2004,1.25
Niclas Jensen,Man City,Premier League,Bor. Dortmund,2003-2004,1.25
Jonathan Blondel,Spurs,Premier League,Club Brugge,2003-2004,1.2
Roberto Muzzi,Udinese Calcio,Serie A,Lazio,2003-2004,1.1
Dirk Kuyt,FC Utrecht,Eredivisie,Feyenoord,2003-2004,1.0
Moritz Volz,Arsenal,Premier League,Fulham,2003-2004,1.0
Pierre van Hooijdonk,Feyenoord,Eredivisie,Fenerbahce,2003-2004,1.0
Wayne Rooney,Everton,Premier League,Man Utd,2004-2005,37.0
Émerson,AS Roma,Serie A,Juventus,2004-2005,28.0
Samuel Eto'o,RCD Mallorca,LaLiga,FC Barcelona,2004-2005,27.0
Wálter Samuel,AS Roma,Serie A,Real Madrid,2004-2005,25.0
Jonathan Woodgate,Newcastle,Premier League,Real Madrid,2004-2005,18.3
Arjen Robben,PSV Eindhoven,Eredivisie,Chelsea,2004-2005,18.0
Stefano Fiore,Lazio,Serie A,Valencia CF,2004-2005,17.0
Xabi Alonso,Real Sociedad,LaLiga,Liverpool,2004-2005,16.0
Matteo Brighi,Juventus,Serie A,AS Roma,2004-2005,16.0
Zlatan Ibrahimovic,AFC Ajax,Eredivisie,Juventus,2004-2005,16.0
Valeri Bojinov,Lecce,Serie A,Fiorentina,2004-2005,14.0
Matuzalém,Brescia,Serie A,Shakhtar D.,2004-2005,14.0
Michael Owen,Liverpool,Premier League,Real Madrid,2004-2005,12.0
Matteo Brighi,Parma,Serie A,Juventus,2004-2005,11.5
Marco Di Vaio,Juventus,Serie A,Valencia CF,2004-2005,11.0
Nicolas Anelka,Man City,Premier League,Fenerbahce,2004-2005,10.7
