Name,Team_from,League_from,Team_to,Season,Transfer_fee
Karim El Ahmadi,FC Twente,Eredivisie,Feyenoord,2008-2009,5.0
Davide Astori,AC Milan,Serie A,Cagliari Calcio,2008-2009,5.0
Gianluca Comotto,Torino,Serie A,Fiorentina,2008-2009,4.8
Andrea Lazzari,Atalanta,Serie A,Cagliari Calcio,2008-2009,4.8
Rubén de la Red,Getafe CF,LaLiga,Real Madrid,2008-2009,4.7
Fernando Navarro,RCD Mallorca,LaLiga,Sevilla FC,2008-2009,4.7
Tomás Sivok,Udinese Calcio,Serie A,Besiktas,2008-2009,4.7
Emre Belözoglu,Newcastle,Premier League,Fenerbahce,2008-2009,4.5
Kevin Nolan,Bolton,Premier League,Newcastle,2008-2009,4.5
Francesco Modesto,Reggina,Serie A,Genoa,2008-2009,4.5
Maurizio Domizzi,SSC Napoli,Serie A,Udinese Calcio,2008-2009,4.5
Jaime Gavilán,Valencia CF,LaLiga,Getafe CF,2008-2009,4.5
Tomas Zapotocny,Udinese Calcio,Serie A,Besiktas,2008-2009,4.5
Paul Robinson,Spurs,Premier League,Blackburn,2008-2009,4.4
Lee Cattermole,Middlesbrough,Premier League,Wigan,2008-2009,4.4
Danny Guthrie,Liverpool,Premier League,Newcastle,2008-2009,4.3
Fernando Tissone,Atalanta,Serie A,Udinese Calcio,2008-2009,4.2
Bobby Zamora,West Ham,Premier League,Fulham,2008-2009,4.1
Javier Arizmendi,Valencia CF,LaLiga,Real Zaragoza,2008-2009,4.0
Túlio de Melo,US Palermo,Serie A,LOSC Lille,2008-2009,4.0
Scott Carson,Liverpool,Premier League,West Brom,2008-2009,4.0
Javi García,CA Osasuna,LaLiga,Real Madrid,2008-2009,4.0
Javier Balboa,Real Madrid,LaLiga,Benfica,2008-2009,4.0
Vince Grella,Torino,Serie A,Blackburn,2008-2009,4.0
Gianni Zuiverloon,Heerenveen,Eredivisie,West Brom,2008-2009,4.0
Ismail Aissati,PSV Eindhoven,Eredivisie,AFC Ajax,2008-2009,4.0
Stef Nijland,FC Groningen,Eredivisie,PSV Eindhoven,2008-2009,4.0
Marvin Emnes,Sparta R.,Eredivisie,Middlesbrough,2008-2009,4.0
Steven Davis,Fulham,Premier League,Rangers,2008-2009,3.8
John Paintsil,West Ham,Premier League,Fulham,2008-2009,3.8
Justin Hoyte,Arsenal,Premier League,Middlesbrough,2008-2009,3.8
Cristiano Ronaldo,Man Utd,Premier League,Real Madrid,2009-2010,94.0
Zlatan Ibrahimovic,Inter,Serie A,FC Barcelona,2009-2010,69.5
Kaká,AC Milan,Serie A,Real Madrid,2009-2010,65.0
Xabi Alonso,Liverpool,Premier League,Real Madrid,2009-2010,34.5
Emmanuel Adebayor,Arsenal,Premier League,Man City,2009-2010,29.0
Carlos Tévez,West Ham,Premier League,Man City,2009-2010,29.0
Joleon Lescott,Everton,Premier League,Man City,2009-2010,27.5
Arjen Robben,Real Madrid,LaLiga,Bayern Munich ,2009-2010,25.0
Diego Milito,Genoa,Serie A,Inter,2009-2010,25.0
Felipe Melo,Fiorentina,Serie A,Juventus,2009-2010,25.0
Roque Santa Cruz,Blackburn,Premier League,Man City,2009-2010,21.2
Glen Johnson,Portsmouth,Premier League,Liverpool,2009-2010,20.5
Samuel Eto'o,FC Barcelona,LaLiga,Inter,2009-2010,20.0
Alberto Aquilani,AS Roma,Serie A,Liverpool,2009-2010,20.0
Antonio Valencia,Wigan,Premier League,Man Utd,2009-2010,18.9
Kolo Touré,Arsenal,Premier League,Man City,2009-2010,18.7
Fabio Quagliarella,Udinese Calcio,Serie A,SSC Napoli,2009-2010,18.0
Wesley Sneijder,Real Madrid,LaLiga,Inter,2009-2010,15.0
Klaas-Jan Huntelaar,Real Madrid,LaLiga,AC Milan,2009-2010,15.0
Álvaro Negredo,Real Madrid,LaLiga,Sevilla FC,2009-2010,15.0
Raúl Albiol,Valencia CF,LaLiga,Real Madrid,2009-2010,15.0
Robert Acquafresca,Inter,Serie A,Genoa,2009-2010,15.0
Gareth Barry,Aston Villa,Premier League,Man City,2009-2010,13.9
Michael Turner,Hull City,Premier League,Sunderland,2009-2010,13.6
Yoann Gourcuff,AC Milan,Serie A,G. Bordeaux,2009-2010,13.5
Thomas Vermaelen,AFC Ajax,Eredivisie,Arsenal,2009-2010,12.0
Darren Bent,Spurs,Premier League,Sunderland,2009-2010,11.8
Luca Cigarini,Atalanta,Serie A,SSC Napoli,2009-2010,11.0
Peter Crouch,Portsmouth,Premier League,Spurs,2009-2010,10.5
Sergio Floccari,Atalanta,Serie A,Genoa,2009-2010,10.5
Leonardo Bonucci,Genoa,Serie A,Bari,2009-2010,10.5
Thiago Motta,Genoa,Serie A,Inter,2009-2010,10.2
Marcus Berg,FC Groningen,Eredivisie,Hamburger SV,2009-2010,10.0
McDonald Mariga,Parma,Serie A,Inter,2009-2010,10.0
Daniele Galloppa,Siena,Serie A,Parma,2009-2010,10.0
Fabian Delph,Leeds,League One,Aston Villa,2009-2010,9.5
Didier Zokora,Spurs,Premier League,Sevilla FC,2009-2010,9.0
Eljero Elia,FC Twente,Eredivisie,Hamburger SV,2009-2010,9.0
Stephen Warnock,Blackburn,Premier League,Aston Villa,2009-2010,9.0
Camilo Zúñiga,Siena,Serie A,SSC Napoli,2009-2010,8.5
Zdravko Kuzmanovic,Fiorentina,Serie A,VfB Stuttgart,2009-2010,8.0
Demy de Zeeuw,AZ Alkmaar,Eredivisie,AFC Ajax,2009-2010,8.0
Danijel Pranjic,Heerenveen,Eredivisie,Bayern Munich ,2009-2010,7.7
Daniel Sturridge,Man City,Premier League,Chelsea,2009-2010,7.25
Elano,Man City,Premier League,Galatasaray,2009-2010,7.0
Javi García,Real Madrid,LaLiga,Benfica,2009-2010,7.0
Lee Cattermole,Wigan,Premier League,Sunderland,2009-2010,7.0
Hugo Campagnaro,Sampdoria,Serie A,SSC Napoli,2009-2010,7.0
Richard Dunne,Man City,Premier League,Aston Villa,2009-2010,6.8
Johnny Heitinga,Atlético Madrid,LaLiga,Everton,2009-2010,6.8
Alessandro Diamanti,AS Livorno,Serie A,West Ham,2009-2010,6.8
Sylvain Distin,Portsmouth,Premier League,Everton,2009-2010,6.5
Florent Sinama-Pongolle,Atlético Madrid,LaLiga,Sporting CP,2009-2010,6.5
Savio Nsereko,West Ham,Premier League,Fiorentina,2009-2010,6.2
David Rozehnal,Lazio,Serie A,Hamburger SV,2009-2010,6.0
Matuzalém,Real Zaragoza,LaLiga,Lazio,2009-2010,6.0
Keisuke Honda,VVV-Venlo,Eredivisie,CSKA Moscow,2009-2010,6.0
Iván Marcano,Racing,LaLiga,Villarreal CF,2009-2010,6.0
Younès Kaboul,Portsmouth,Premier League,Spurs,2009-2010,5.9
James Collins,West Ham,Premier League,Aston Villa,2009-2010,5.7
Ikechukwu Uche,Getafe CF,LaLiga,Real Zaragoza,2009-2010,5.5
Sergio Asenjo,Real Valladolid,LaLiga,Atlético Madrid,2009-2010,5.5
Lorenzo De Silvestri,Lazio,Serie A,Fiorentina,2009-2010,5.5
Houssine Kharja,Siena,Serie A,Genoa,2009-2010,5.2
Maxwell,Inter,Serie A,FC Barcelona,2009-2010,5.0
Álvaro Negredo,UD Almería,LaLiga,Real Madrid,2009-2010,5.0
Marco Amelia,US Palermo,Serie A,Genoa,2009-2010,5.0
Danko Lazovic,PSV Eindhoven,Eredivisie,Zenit S-Pb,2009-2010,5.0
Javier Saviola,Real Madrid,LaLiga,Benfica,2009-2010,5.0
Matteo Ferrari,Genoa,Serie A,Besiktas,2009-2010,5.0
Rubinho,Genoa,Serie A,US Palermo,2009-2010,5.0
Miguel Ángel Moyà,RCD Mallorca,LaLiga,Valencia CF,2009-2010,5.0
Roman Eremenko,Udinese Calcio,Serie A,Dynamo Kyiv,2009-2010,5.0
Franco Semioli,Fiorentina,Serie A,Sampdoria,2009-2010,5.0
Daniele Vantaggiato,Parma,Serie A,Padova,2009-2010,5.0
Erwin Hoffer,Rapid Vienna,Bundesliga,SSC Napoli,2009-2010,5.0
Riccardo Meggiorini,Inter,Serie A,Genoa,2009-2010,5.0
Andrea Pisanu,Parma,Serie A,Bologna,2009-2010,5.0
Alessandro Budel,Parma,Serie A,Brescia,2009-2010,5.0
Zat Knight,Aston Villa,Premier League,Bolton,2009-2010,4.7
Michael Chopra,Sunderland,Premier League,Cardiff,2009-2010,4.7
Alberto Zapater,Real Zaragoza,LaLiga,Genoa,2009-2010,4.5
Marco Marchionni,Juventus,Serie A,Fiorentina,2009-2010,4.5
Kevin-Prince Boateng,Spurs,Premier League,Portsmouth,2009-2010,4.5
Reginaldo,Parma,Serie A,Siena,2009-2010,4.5
Nihat Kahveci,Villarreal CF,LaLiga,Besiktas,2009-2010,4.25
Aquivaldo Mosquera,Sevilla FC,LaLiga,América,2009-2010,4.2
Fraizer Campbell,Man Utd,Premier League,Sunderland,2009-2010,4.1
Álvaro Arbeloa,Liverpool,Premier League,Real Madrid,2009-2010,4.0
Pedro León,Real Valladolid,LaLiga,Getafe CF,2009-2010,4.0
Esteban Granero,Getafe CF,LaLiga,Real Madrid,2009-2010,4.0
Sebastián Leto,Liverpool,Premier League,Panathinaikos,2009-2010,4.0
Leonardo Bonucci,Inter,Serie A,Genoa,2009-2010,4.0
Andrea Dossena,Liverpool,Premier League,SSC Napoli,2009-2010,3.75
Asmir Begovic,Portsmouth,Premier League,Stoke City,2009-2010,3.75
Emiliano Moretti,Valencia CF,LaLiga,Genoa,2009-2010,3.7
Matías Fernández,Villarreal CF,LaLiga,Sporting CP,2009-2010,3.64
Juan Arango,RCD Mallorca,LaLiga,Bor. M'gladbach,2009-2010,3.6
Antonio Mirante,Sampdoria,Serie A,Parma,2009-2010,3.6
Gelson Fernandes,Man City,Premier League,Saint-Étienne,2009-2010,3.5
Boško Jankovic,US Palermo,Serie A,Genoa,2009-2010,3.5
Daniele Mannini,SSC Napoli,Serie A,Sampdoria,2009-2010,3.5
Marco Motta,Udinese Calcio,Serie A,AS Roma,2009-2010,3.5
Dean Whitehead,Sunderland,Premier League,Stoke City,2009-2010,3.5
Emiliano Viviano,Inter,Serie A,Bologna,2009-2010,3.5
Sekou Cissé,Roda JC,Eredivisie,Feyenoord,2009-2010,3.5
Seyi Olofinjana,Stoke City,Premier League,Hull City,2009-2010,3.5
Michele Paolucci,Juventus,Serie A,Siena,2009-2010,3.5
Craig Gardner,Aston Villa,Premier League,Birmingham,2009-2010,3.5
Ched Evans,Man City,Premier League,Sheffield Utd.,2009-2010,3.5
Marco Parolo,Chievo Verona,Serie A,RC Cesena,2009-2010,3.5
Jonathan Pereira,Villarreal CF,LaLiga,Real Betis,2009-2010,3.4
Míchel,Sporting Gijón,LaLiga,Birmingham,2009-2010,3.3
Michele Paolucci,Udinese Calcio,Serie A,Juventus,2009-2010,3.3
Fernando Torres,Liverpool,Premier League,Chelsea,2010-2011,58.5
Andy Carroll,Newcastle,Premier League,Liverpool,2010-2011,41.0
David Villa,Valencia CF,LaLiga,FC Barcelona,2010-2011,40.0
Yaya Touré,FC Barcelona,LaLiga,Man City,2010-2011,30.0
Mario Balotelli,Inter,Serie A,Man City,2010-2011,29.5
David Silva,Valencia CF,LaLiga,Man City,2010-2011,28.75
Luis Suárez,AFC Ajax,Eredivisie,Liverpool,2010-2011,26.5
Aleksandar Kolarov,Lazio,Serie A,Man City,2010-2011,23.86
James Milner,Aston Villa,Premier League,Man City,2010-2011,22.0
Darren Bent,Sunderland,Premier League,Aston Villa,2010-2011,21.5
Javier Mascherano,Liverpool,Premier League,FC Barcelona,2010-2011,20.0
Andrea Ranocchia,Genoa,Serie A,Inter,2010-2011,18.5
Giampaolo Pazzini,Sampdoria,Serie A,Inter,2010-2011,18.0
Robinho,Man City,Premier League,AC Milan,2010-2011,18.0
Diego,Juventus,Serie A,VfL Wolfsburg,2010-2011,15.5
Leonardo Bonucci,Bari,Serie A,Juventus,2010-2011,15.5
Dmytro Chygrynskiy,FC Barcelona,LaLiga,Shakhtar D.,2010-2011,15.0
Klaas-Jan Huntelaar,AC Milan,Serie A,FC Schalke 04,2010-2011,14.0
Simon Kjær,US Palermo,Serie A,VfL Wolfsburg,2010-2011,12.0
Filipe Luís,Dep. La Coruña,LaLiga,Atlético Madrid,2010-2011,12.0
Jorge Martínez,Catania,Serie A,Juventus,2010-2011,12.0
José Manuel Jurado,Atlético Madrid,LaLiga,FC Schalke 04,2010-2011,11.0
Rafael van der Vaart,Real Madrid,LaLiga,Spurs,2010-2011,10.5
Roberto Soldado,Getafe CF,LaLiga,Valencia CF,2010-2011,10.0
Pedro León,Getafe CF,LaLiga,Real Madrid,2010-2011,10.0
Nicolás Pareja,Espanyol,LaLiga,Spartak Moscow,2010-2011,10.0
Stephen Ireland,Man City,Premier League,Aston Villa,2010-2011,9.7
Kenwyne Jones,Sunderland,Premier League,Stoke City,2010-2011,9.7
Adriano,Sevilla FC,LaLiga,FC Barcelona,2010-2011,9.5
Salvatore Bocchetti,Genoa,Serie A,Rubin Kazan,2010-2011,9.5
Zoran Tosic,Man Utd,Premier League,CSKA Moscow,2010-2011,9.5
Sergio Floccari,Genoa,Serie A,Lazio,2010-2011,8.5
Víctor Ruiz,Espanyol,LaLiga,SSC Napoli,2010-2011,8.5
Roberto,Atlético Madrid,LaLiga,Benfica,2010-2011,8.5
Ricardo Carvalho,Chelsea,Premier League,Real Madrid,2010-2011,8.0
Diego Godín,Villarreal CF,LaLiga,Atlético Madrid,2010-2011,8.0
Nicolás Burdisso,Inter,Serie A,AS Roma,2010-2011,8.0
Chris Smalling,Fulham,Premier League,Man Utd,2010-2011,8.0
Luís Fabiano,Sevilla FC,LaLiga,São Paulo,2010-2011,7.6
Ricardo Quaresma,Inter,Serie A,Besiktas,2010-2011,7.3
Eduardo,Arsenal,Premier League,Shakhtar D.,2010-2011,7.2
Yossi Benayoun,Liverpool,Premier League,Chelsea,2010-2011,7.0
Nikola Zigic,Valencia CF,LaLiga,Birmingham,2010-2011,7.0
Jonathan Biabiany,Inter,Serie A,Sampdoria,2010-2011,7.0
Ryan Babel,Liverpool,Premier League,TSG Hoffenheim,2010-2011,7.0
Marc Janko,RB Salzburg,Bundesliga,FC Twente,2010-2011,7.0
Aleksandar Lukovic,Udinese Calcio,Serie A,Zenit S-Pb,2010-2011,7.0
Luca Antonelli,Parma,Serie A,Genoa,2010-2011,7.0
Ben Foster,Man Utd,Premier League,Birmingham,2010-2011,7.0
Andrea Rispoli,Brescia,Serie A,Parma,2010-2011,7.0
Sébastien Squillaci,Sevilla FC,LaLiga,Arsenal,2010-2011,6.5
Felipe,Udinese Calcio,Serie A,Fiorentina,2010-2011,6.3
Marko Arnautovic,FC Twente,Eredivisie,Werder Bremen,2010-2011,6.2
Albert Riera,Liverpool,Premier League,Olympiacos,2010-2011,6.0
Mousa Dembélé,AZ Alkmaar,Eredivisie,Fulham,2010-2011,6.0
Raffaele Palladino,Genoa,Serie A,Parma,2010-2011,6.0
César Azpilicueta,CA Osasuna,LaLiga,Marseille,2010-2011,6.0
Abdoulay Konko,Sevilla FC,LaLiga,Genoa,2010-2011,6.0
Sergio Canales,Racing,LaLiga,Real Madrid,2010-2011,6.0
Miroslav Stoch,Chelsea,Premier League,Fenerbahce,2010-2011,5.5
Christian Poulsen,Juventus,Serie A,Liverpool,2010-2011,5.48
Mounir El Hamdaoui,AZ Alkmaar,Eredivisie,AFC Ajax,2010-2011,5.0
Alexis,Valencia CF,LaLiga,Sevilla FC,2010-2011,5.0
Chico,UD Almería,LaLiga,Genoa,2010-2011,5.0
Nikica Jelavic,Rapid Vienna,Bundesliga,Rangers,2010-2011,4.9
Guido Marilungo,Sampdoria,Serie A,Atalanta,2010-2011,4.7
Daniel Osvaldo,Bologna,Serie A,Espanyol,2010-2011,4.6
Lorik Cana,Sunderland,Premier League,Galatasaray,2010-2011,4.5
Gaetano D'Agostino,Udinese Calcio,Serie A,Fiorentina,2010-2011,4.5
Barreto,Udinese Calcio,Serie A,Bari,2010-2011,4.5
Tuncay Sanli,Stoke City,Premier League,VfL Wolfsburg,2010-2011,4.5
Sokratis,Genoa,Serie A,AC Milan,2010-2011,4.5
Marco Storari,AC Milan,Serie A,Juventus,2010-2011,4.5
Alberto Paloschi,Genoa,Serie A,AC Milan,2010-2011,4.35
Aritz Aduriz,RCD Mallorca,LaLiga,Valencia CF,2010-2011,4.3
Cheik Tioté,FC Twente,Eredivisie,Newcastle,2010-2011,4.28
Juanfran,CA Osasuna,LaLiga,Atlético Madrid,2010-2011,4.25
Jonathan Biabiany,Parma,Serie A,Inter,2010-2011,4.2
Mario Bolatti,Fiorentina,Serie A,Internacional,2010-2011,4.0
Curtis Davies,Aston Villa,Premier League,Birmingham,2010-2011,4.0
Mémé Tchité,Racing,LaLiga,Standard Liège,2010-2011,4.0
Paul Konchesky,Fulham,Premier League,Liverpool,2010-2011,4.0
Ronnie Stam,FC Twente,Eredivisie,Wigan,2010-2011,4.0
Alessio Cerci,AS Roma,Serie A,Fiorentina,2010-2011,4.0
Dídac Vilà,Espanyol,LaLiga,AC Milan,2010-2011,4.0
Cristian Molinaro,Juventus,Serie A,VfB Stuttgart,2010-2011,3.9
Lorenzo Ariaudo,Juventus,Serie A,Cagliari Calcio,2010-2011,3.8
Steven Pienaar,Everton,Premier League,Spurs,2010-2011,3.6
Martyn Waghorn,Sunderland,Premier League,Leicester,2010-2011,3.6
Jelle Van Damme,Wolves,Premier League,Standard Liège,2010-2011,3.5
Jeremain Lens,AZ Alkmaar,Eredivisie,PSV Eindhoven,2010-2011,3.5
Luis Jiménez,Inter,Serie A,Ternana,2010-2011,3.18
Giuseppe Sculli,Genoa,Serie A,Lazio,2010-2011,3.0
Ronaldinho,AC Milan,Serie A,Flamengo,2010-2011,3.0
Ibrahim Afellay,PSV Eindhoven,Eredivisie,FC Barcelona,2010-2011,3.0
Javier Pastore,US Palermo,Serie A,Paris SG,2011-2012,42.0
Sergio Agüero,Atlético Madrid,LaLiga,Man City,2011-2012,40.0
Cesc Fàbregas,Arsenal,Premier League,FC Barcelona,2011-2012,34.0
Samir Nasri,Arsenal,Premier League,Man City,2011-2012,27.5
Samuel Eto'o,Inter,Serie A,Anzhi,2011-2012,27.0
Juan Mata,Valencia CF,LaLiga,Chelsea,2011-2012,26.7
Alexis Sánchez,Udinese Calcio,Serie A,FC Barcelona,2011-2012,26.0
David de Gea,Atlético Madrid,LaLiga,Man Utd,2011-2012,25.0
Zlatan Ibrahimovic,FC Barcelona,LaLiga,AC Milan,2011-2012,24.0
Santi Cazorla,Villarreal CF,LaLiga,Málaga CF,2011-2012,23.0
Stewart Downing,Aston Villa,Premier League,Liverpool,2011-2012,22.8
Phil Jones,Blackburn,Premier League,Man Utd,2011-2012,19.3
Ashley Young,Aston Villa,Premier League,Man Utd,2011-2012,18.0
Gökhan Inler,Udinese Calcio,Serie A,SSC Napoli,2011-2012,18.0
Jordan Henderson,Sunderland,Premier League,Liverpool,2011-2012,18.0
Daniel Osvaldo,Espanyol,LaLiga,AS Roma,2011-2012,16.0
Alessandro Matri,Cagliari Calcio,Serie A,Juventus,2011-2012,15.5
Stephan El Shaarawy,Genoa,Serie A,AC Milan,2011-2012,15.5
Mirko Vucinic,AS Roma,Serie A,Juventus,2011-2012,15.0
Domenico Criscito,Genoa,Serie A,Zenit S-Pb,2011-2012,15.0
Yuri Zhirkov,Chelsea,Premier League,Anzhi,2011-2012,15.0
Balázs Dzsudzsák,PSV Eindhoven,Eredivisie,Anzhi,2011-2012,14.0
Christopher Samba,Blackburn,Premier League,Anzhi,2011-2012,14.0
Raúl Meireles,Liverpool,Premier League,Chelsea,2011-2012,13.5
Jérôme Boateng,Man City,Premier League,Bayern Munich ,2011-2012,13.5
Edinson Cavani,US Palermo,Serie A,SSC Napoli,2011-2012,12.0
Mikel Arteta,Everton,Premier League,Arsenal,2011-2012,12.0
Bojan Krkic,FC Barcelona,LaLiga,AS Roma,2011-2012,12.0
Bryan Ruíz,FC Twente,Eredivisie,Fulham,2011-2012,12.0
Thiago Motta,Inter,Serie A,Paris SG,2011-2012,11.5
Peter Crouch,Spurs,Premier League,Stoke City,2011-2012,11.3
Charles N'Zogbia,Wigan,Premier League,Aston Villa,2011-2012,10.8
Fabio Quagliarella,SSC Napoli,Serie A,Juventus,2011-2012,10.5
Marco Borriello,AC Milan,Serie A,AS Roma,2011-2012,10.0
Stephan Lichtsteiner,Lazio,Serie A,Juventus,2011-2012,9.93
Wilson Palacios,Spurs,Premier League,Stoke City,2011-2012,9.0
Cristián Zapata,Udinese Calcio,Serie A,Villarreal CF,2011-2012,9.0
Sébastien Frey,Fiorentina,Serie A,Genoa,2011-2012,9.0
Roman Pavlyuchenko,Spurs,Premier League,Loko Moscow,2011-2012,9.0
Blerim Dzemaili,Parma,Serie A,SSC Napoli,2011-2012,9.0
Miguel Britos,Bologna,Serie A,SSC Napoli,2011-2012,9.0
Elias,Atlético Madrid,LaLiga,Sporting CP,2011-2012,8.85
Emiliano Viviano,Inter,Serie A,US Palermo,2011-2012,8.5
Dries Mertens,FC Utrecht,Eredivisie,PSV Eindhoven,2011-2012,8.5
Gary Cahill,Bolton,Premier League,Chelsea,2011-2012,8.4
Alberto Gilardino,Fiorentina,Serie A,Genoa,2011-2012,8.0
Jérémy Ménez,AS Roma,Serie A,Paris SG,2011-2012,8.0
Víctor Ruiz,SSC Napoli,Serie A,Valencia CF,2011-2012,8.0
José Enrique,Newcastle,Premier League,Liverpool,2011-2012,8.0
Mohamed Sissoko,Juventus,Serie A,Paris SG,2011-2012,8.0
Jonathan de Guzmán,RCD Mallorca,LaLiga,Villarreal CF,2011-2012,8.0
Matías Silvestre,Catania,Serie A,US Palermo,2011-2012,8.0
Gaël Clichy,Arsenal,Premier League,Man City,2011-2012,7.75
Fabio Borini,Parma,Serie A,AS Roma,2011-2012,7.6
Kevin-Prince Boateng,Genoa,Serie A,AC Milan,2011-2012,7.5
Simone Pepe,Udinese Calcio,Serie A,Juventus,2011-2012,7.5
Ander Herrera,Real Zaragoza,LaLiga,Athletic Bilbao,2011-2012,7.5
Felipe Caicedo,Levante UD,LaLiga,Loko Moscow,2011-2012,7.5
Maarten Stekelenburg,AFC Ajax,Eredivisie,AS Roma,2011-2012,7.33
Emanuele Giaccherini,RC Cesena,Serie A,Juventus,2011-2012,7.25
Kévin Constant,Chievo Verona,Serie A,Genoa,2011-2012,7.0
Tim Matavz,FC Groningen,Eredivisie,PSV Eindhoven,2011-2012,7.0
Fernando Muslera,Lazio,Serie A,Galatasaray,2011-2012,6.75
Diniyar Bilyaletdinov,Everton,Premier League,Spartak Moscow,2011-2012,6.7
Alexander Merkel,AC Milan,Serie A,Genoa,2011-2012,6.5
Borja Valero,West Brom,Premier League,Villarreal CF,2011-2012,6.0
Dani Parejo,Getafe CF,LaLiga,Valencia CF,2011-2012,6.0
Nacho Monreal,CA Osasuna,LaLiga,Málaga CF,2011-2012,6.0
Demy de Zeeuw,AFC Ajax,Eredivisie,Spartak Moscow,2011-2012,6.0
Nikola Kalinic,Blackburn,Premier League,Dnipro,2011-2012,6.0
Bobby Zamora,Fulham,Premier League,QPR,2011-2012,5.8
Davide Santon,Inter,Serie A,Newcastle,2011-2012,5.65
Ezequiel Garay,Real Madrid,LaLiga,Benfica,2011-2012,5.5
Rafinha,Genoa,Serie A,Bayern Munich ,2011-2012,5.5
Leroy Fer,Feyenoord,Eredivisie,FC Twente,2011-2012,5.5
Édgar Barreto,Atalanta,Serie A,US Palermo,2011-2012,5.3
Federico Marchetti,Cagliari Calcio,Serie A,Lazio,2011-2012,5.2
Ricky van Wolfswinkel,FC Utrecht,Eredivisie,Sporting CP,2011-2012,5.08
Alex,Chelsea,Premier League,Paris SG,2011-2012,5.0
Didier Zokora,Sevilla FC,LaLiga,Trabzonspor,2011-2012,5.0
Diego Forlán,Atlético Madrid,LaLiga,Inter,2011-2012,5.0
José Callejón,Espanyol,LaLiga,Real Madrid,2011-2012,5.0
Georginio Wijnaldum,Feyenoord,Eredivisie,PSV Eindhoven,2011-2012,5.0
Djibril Cissé,Lazio,Serie A,QPR,2011-2012,5.0
Ikechukwu Uche,Real Zaragoza,LaLiga,Villarreal CF,2011-2012,5.0
Ahmed Musa,VVV-Venlo,Eredivisie,CSKA Moscow,2011-2012,5.0
Simone Padoin,Atalanta,Serie A,Juventus,2011-2012,5.0
Nemanja Matic,Chelsea,Premier League,Benfica,2011-2012,5.0
Derek Boateng,Getafe CF,LaLiga,Dnipro,2011-2012,4.88
Nedum Onuoha,Man City,Premier League,QPR,2011-2012,4.7
Yuto Nagatomo,RC Cesena,Serie A,Inter,2011-2012,4.5
Shaun Wright-Phillips,Man City,Premier League,QPR,2011-2012,4.5
Alan Hutton,Spurs,Premier League,Aston Villa,2011-2012,4.5
Achille Emaná,Real Betis,LaLiga,Hilal,2011-2012,4.5
John O'Shea,Man Utd,Premier League,Sunderland,2011-2012,4.5
Andrea Lazzari,Cagliari Calcio,Serie A,Fiorentina,2011-2012,4.5
Manu del Moral,Getafe CF,LaLiga,Sevilla FC,2011-2012,4.5
David N'Gog,Liverpool,Premier League,Bolton,2011-2012,4.5
Kevin Strootman,FC Utrecht,Eredivisie,PSV Eindhoven,2011-2012,4.5
Nacer Barazite,Austria Vienna,Bundesliga,Monaco,2011-2012,4.5
José Ángel,Sporting Gijón,LaLiga,AS Roma,2011-2012,4.5
Ali Al-Habsi,Bolton,Premier League,Wigan,2011-2012,4.3
Joaquín,Valencia CF,LaLiga,Málaga CF,2011-2012,4.2
Emiliano Viviano,Bologna,Serie A,Inter,2011-2012,4.1
Abdoulay Konko,Genoa,Serie A,Lazio,2011-2012,4.0
Sokratis,AC Milan,Serie A,Genoa,2011-2012,4.0
Kolbeinn Sigthórsson,AZ Alkmaar,Eredivisie,AFC Ajax,2011-2012,4.0
Marco Rossi,Parma,Serie A,RC Cesena,2011-2012,4.0
Salvatore Sirigu,US Palermo,Serie A,Paris SG,2011-2012,3.9
Robbie Keane,Spurs,Premier League,Los Angeles,2011-2012,3.75
Shay Given,Man City,Premier League,Aston Villa,2011-2012,3.75
Jeffren,FC Barcelona,LaLiga,Sporting CP,2011-2012,3.75
Jamie O'Hara,Spurs,Premier League,Wolves,2011-2012,3.75
Marco Motta,Udinese Calcio,Serie A,Juventus,2011-2012,3.75
José Antonio Reyes,Atlético Madrid,LaLiga,Sevilla FC,2011-2012,3.5
Diego Capel,Sevilla FC,LaLiga,Sporting CP,2011-2012,3.5
Maxwell,FC Barcelona,LaLiga,Paris SG,2011-2012,3.5
Emmanuel Eboué,Arsenal,Premier League,Galatasaray,2011-2012,3.5
Thiago Silva,AC Milan,Serie A,Paris SG,2012-2013,42.0
Javi Martínez,Athletic Bilbao,LaLiga,Bayern Munich ,2012-2013,40.0
Robin van Persie,Arsenal,Premier League,Man Utd,2012-2013,30.7
Luka Modric,Spurs,Premier League,Real Madrid,2012-2013,30.0
Ezequiel Lavezzi,SSC Napoli,Serie A,Paris SG,2012-2013,28.95
Zlatan Ibrahimovic,AC Milan,Serie A,Paris SG,2012-2013,21.0
Mario Balotelli,Man City,Premier League,AC Milan,2012-2013,20.0
Alex Song,Arsenal,Premier League,FC Barcelona,2012-2013,19.0
Santi Cazorla,Málaga CF,LaLiga,Arsenal,2012-2013,19.0
Mousa Dembélé,Fulham,Premier League,Spurs,2012-2013,19.0
Joe Allen,Swansea,Premier League,Liverpool,2012-2013,19.0
Kwadwo Asamoah,Udinese Calcio,Serie A,Juventus,2012-2013,18.0
Gastón Ramírez,Bologna,Serie A,Southampton,2012-2013,15.2
Matija Nastasic,Fiorentina,Serie A,Man City,2012-2013,15.2
Alexandre Pato,AC Milan,Serie A,Corinthians,2012-2013,15.0
